UserID,interaction_count,average_rating,rating_std,activity_span_days,recency_days,active_days,interactions_per_active_day,weekend_interaction_ratio,unique_genre_count,genre_prop_action,genre_prop_adventure,genre_prop_animation,genre_prop_childrens,genre_prop_comedy,genre_prop_crime,genre_prop_documentary,genre_prop_drama,genre_prop_fantasy,genre_prop_film_noir,genre_prop_horror,genre_prop_musical,genre_prop_mystery,genre_prop_romance,genre_prop_sci_fi,genre_prop_thriller,genre_prop_war,genre_prop_western
1,53,4.188679245283019,0.6809666142721429,6.07,782.76,2,26.5,1.0,13,0.0431,0.0431,0.1552,0.1724,0.1207,0.0172,0.0,0.181,0.0259,0.0,0.0,0.1207,0.0,0.0517,0.0259,0.0259,0.0172,0.0
2,129,3.7131782945736433,1.001512905945397,0.02,788.82,1,129.0,1.0,14,0.1944,0.066,0.0,0.0,0.0868,0.0417,0.0,0.2743,0.0035,0.0035,0.0069,0.0,0.0104,0.0833,0.059,0.1076,0.0521,0.0104
3,51,3.9019607843137254,0.9849853188912879,0.02,788.84,1,51.0,1.0,15,0.187,0.2033,0.0244,0.0244,0.2439,0.0,0.0,0.065,0.0163,0.0,0.0244,0.0081,0.0081,0.0407,0.0488,0.0407,0.0163,0.0488
4,21,4.190476190476191,1.077916862241593,0.0,788.89,1,21.0,1.0,12,0.3276,0.1034,0.0,0.0172,0.0,0.0172,0.0,0.1034,0.0345,0.0,0.0517,0.0,0.0,0.0345,0.1552,0.069,0.0517,0.0345
5,198,3.1464646464646466,1.132699316852714,0.06,789.44,1,198.0,1.0,17,0.0881,0.0256,0.0114,0.017,0.1591,0.0597,0.017,0.2955,0.0,0.0085,0.0284,0.0085,0.0227,0.0852,0.0426,0.1108,0.017,0.0028
6,71,3.9014084507042255,0.8307471607356973,0.03,789.53,1,71.0,1.0,14,0.0636,0.0462,0.052,0.0925,0.185,0.0116,0.0,0.1272,0.0116,0.0,0.0,0.1098,0.0,0.1965,0.0116,0.0173,0.0289,0.0462
7,31,4.32258064516129,0.747756501105966,0.0,789.58,1,31.0,1.0,11,0.3452,0.0952,0.0,0.0,0.0357,0.0238,0.0,0.0952,0.0,0.0,0.0119,0.0,0.0119,0.0357,0.119,0.1786,0.0476,0.0
8,139,3.884892086330935,0.9253212265630916,0.21,789.44,1,139.0,1.0,15,0.1286,0.0321,0.0143,0.0107,0.0643,0.0464,0.0,0.3857,0.0,0.0,0.0036,0.0036,0.0143,0.1071,0.0464,0.1036,0.0357,0.0036
9,106,3.7358490566037736,0.8200102994992293,0.02,789.67,1,106.0,1.0,17,0.0971,0.034,0.0437,0.0243,0.1311,0.0777,0.0097,0.2621,0.0049,0.0049,0.0049,0.0,0.0049,0.0874,0.0437,0.1311,0.034,0.0049
10,401,4.114713216957606,0.8377398045036868,27.94,761.76,5,80.2,0.7681,18,0.0934,0.0807,0.0381,0.0738,0.2111,0.0173,0.0023,0.1338,0.0438,0.0046,0.0219,0.0427,0.0092,0.0773,0.0819,0.0311,0.0277,0.0092
11,137,3.2773722627737225,1.3489098376494046,7.99,781.78,3,45.67,1.0,17,0.0388,0.0345,0.0043,0.0259,0.3621,0.0302,0.0086,0.2328,0.0086,0.0,0.0172,0.0129,0.0129,0.0948,0.0172,0.0776,0.0172,0.0043
12,23,3.8260869565217392,1.114049693401326,0.02,789.75,1,23.0,1.0,14,0.1333,0.0667,0.0,0.0222,0.1556,0.1333,0.0,0.2667,0.0,0.0222,0.0222,0.0222,0.0222,0.0222,0.0222,0.0667,0.0222,0.0
13,108,3.388888888888889,0.7952350306004389,0.01,789.95,1,108.0,1.0,17,0.2136,0.2427,0.0065,0.0388,0.0583,0.0259,0.0,0.0712,0.0453,0.0032,0.0097,0.0065,0.0129,0.0421,0.1197,0.0647,0.0291,0.0097
14,25,3.32,1.4059397805975427,0.01,789.97,1,25.0,1.0,10,0.087,0.0,0.0,0.0,0.1739,0.0652,0.0,0.2826,0.0,0.0,0.087,0.0,0.0217,0.1304,0.0435,0.087,0.0217,0.0
15,201,3.3233830845771144,0.8245607906712747,1.91,788.12,2,100.5,0.995,17,0.1327,0.0545,0.0047,0.0071,0.1493,0.0758,0.0,0.1872,0.0166,0.0047,0.0237,0.0095,0.045,0.0592,0.0427,0.1493,0.0308,0.0071
16,35,3.0285714285714285,1.2481919697215291,0.01,790.28,1,35.0,1.0,16,0.0921,0.0658,0.0526,0.0526,0.2895,0.0132,0.0,0.0526,0.0,0.0132,0.0263,0.0132,0.0132,0.1447,0.0658,0.0658,0.0132,0.0263
17,211,4.075829383886256,0.8129509147538629,0.03,790.43,1,211.0,1.0,18,0.1268,0.0704,0.0201,0.0221,0.0664,0.0443,0.002,0.1388,0.0181,0.0241,0.0402,0.004,0.0181,0.0302,0.2334,0.1127,0.0241,0.004
18,305,3.6491803278688524,1.361431008798094,0.06,790.48,1,305.0,1.0,17,0.1634,0.1042,0.0541,0.1004,0.103,0.0425,0.0,0.1326,0.0425,0.0039,0.009,0.0283,0.0103,0.0566,0.0566,0.0541,0.027,0.0116
19,255,3.5725490196078433,1.0838976096013075,189.93,600.67,13,19.62,0.4863,18,0.1755,0.078,0.0532,0.0532,0.1312,0.0266,0.0018,0.0691,0.0142,0.0018,0.1028,0.0301,0.016,0.0372,0.0957,0.0922,0.0177,0.0035
20,24,4.083333333333333,0.8297022339981068,364.89,425.76,2,12.0,1.0,12,0.2698,0.0635,0.0,0.0,0.0635,0.0794,0.0,0.0952,0.0,0.0159,0.0159,0.0,0.0317,0.0317,0.1429,0.1429,0.0476,0.0
21,22,2.909090909090909,1.4111491740216524,0.01,790.68,1,22.0,1.0,16,0.0877,0.0877,0.2456,0.1404,0.1228,0.0175,0.0,0.0175,0.0,0.0175,0.0175,0.0351,0.0175,0.0175,0.0877,0.0351,0.0351,0.0175
22,297,3.0673400673400675,1.0145115964018248,150.65,640.1,5,59.4,0.9024,18,0.1584,0.0769,0.0166,0.0287,0.2112,0.0362,0.0015,0.083,0.0196,0.003,0.0468,0.009,0.0166,0.0452,0.0875,0.1327,0.0211,0.006
23,304,3.3157894736842106,1.0239446962658398,180.25,610.5,3,101.33,0.0,18,0.1325,0.071,0.0174,0.0295,0.1232,0.0723,0.0067,0.0964,0.0375,0.012,0.0402,0.0067,0.0201,0.0361,0.1486,0.1325,0.0147,0.0027
24,136,3.948529411764706,0.8283839952419316,92.89,697.88,3,45.33,0.2426,18,0.0927,0.0861,0.0132,0.0132,0.2384,0.043,0.0033,0.2185,0.0199,0.0033,0.0099,0.0232,0.0033,0.1258,0.0464,0.0166,0.0331,0.0099
25,85,3.7411764705882353,1.1035973771572434,2.96,787.83,3,28.33,0.0118,18,0.1974,0.1184,0.0395,0.0351,0.1184,0.0088,0.0044,0.0833,0.0263,0.0044,0.0132,0.0044,0.0044,0.0219,0.1886,0.0702,0.057,0.0044
26,400,2.96,1.032504316168832,2.95,787.84,4,100.0,0.965,17,0.0868,0.0453,0.0155,0.0402,0.2811,0.0155,0.0,0.1788,0.0181,0.0013,0.0168,0.0181,0.0168,0.1321,0.0427,0.0622,0.0181,0.0104
27,70,4.171428571428572,1.1791845447071423,0.02,790.79,1,70.0,0.0,17,0.05,0.0643,0.0214,0.0429,0.1786,0.0429,0.0,0.1786,0.0643,0.1,0.0143,0.0071,0.0286,0.0643,0.0286,0.0571,0.0429,0.0143
28,107,3.7570093457943927,0.8560673740824583,9.96,780.89,2,53.5,0.0,17,0.0837,0.0441,0.0176,0.0264,0.1586,0.0308,0.0,0.2026,0.0176,0.0264,0.0264,0.0264,0.022,0.1057,0.0661,0.0969,0.0352,0.0132
29,108,3.5833333333333335,1.0512564800827096,0.16,790.72,2,54.0,0.8148,16,0.3346,0.1078,0.0037,0.0,0.0409,0.0297,0.0,0.0892,0.0112,0.0074,0.026,0.0037,0.0037,0.0335,0.1078,0.1264,0.0632,0.0112
30,43,3.488372093023256,0.9353403511749032,0.01,790.88,1,43.0,0.0,17,0.0541,0.0135,0.0135,0.0135,0.1081,0.0811,0.027,0.3649,0.0135,0.0135,0.0135,0.0135,0.027,0.0811,0.0405,0.0946,0.027,0.0
31,119,3.73109243697479,1.0226045095286924,0.02,790.89,1,119.0,0.0,17,0.0684,0.047,0.0128,0.0256,0.453,0.0299,0.0043,0.0897,0.0085,0.0,0.0256,0.0299,0.0128,0.094,0.0342,0.0214,0.0214,0.0214
32,48,3.625,1.002656047174788,0.09,790.83,1,48.0,0.0,16,0.0686,0.0196,0.0392,0.0294,0.1275,0.049,0.0,0.2059,0.0098,0.0098,0.0,0.0294,0.0098,0.0882,0.049,0.2157,0.0392,0.0098
33,391,3.498721227621483,1.0250070176292738,10.16,780.89,3,130.33,0.0,18,0.0955,0.0505,0.0055,0.0246,0.1132,0.0505,0.0041,0.2224,0.0095,0.015,0.0723,0.0232,0.0232,0.0587,0.0641,0.1201,0.0314,0.0164
34,164,3.8658536585365852,1.0539111512120507,0.02,791.09,1,164.0,0.0,16,0.052,0.0398,0.0153,0.0275,0.367,0.0153,0.0,0.1254,0.0122,0.0,0.0489,0.0122,0.0092,0.1896,0.0214,0.055,0.0061,0.0031
35,198,3.54040404040404,1.0499619709738093,1.28,789.86,2,99.0,0.0051,17,0.0486,0.0256,0.0256,0.0281,0.1893,0.0179,0.0,0.2583,0.0077,0.0051,0.0051,0.0716,0.0281,0.156,0.0153,0.046,0.0332,0.0384
36,351,4.199430199430199,0.7709731995339879,723.2,68.4,8,43.88,0.3105,18,0.1538,0.0525,0.025,0.0213,0.1725,0.0388,0.0125,0.1388,0.0112,0.0062,0.0225,0.01,0.015,0.0612,0.085,0.1138,0.0475,0.0125
37,53,3.69811320754717,1.4621494406994078,0.13,791.63,2,26.5,0.0,15,0.0714,0.0476,0.0238,0.0317,0.2302,0.0079,0.0,0.0714,0.0159,0.0,0.0317,0.0556,0.0079,0.3016,0.0317,0.0317,0.0397,0.0
38,100,3.58,0.8187203614806646,0.03,791.75,1,100.0,0.0,14,0.0327,0.0187,0.0374,0.0654,0.229,0.014,0.0047,0.2056,0.0,0.0,0.0,0.0327,0.0047,0.285,0.0093,0.0514,0.0093,0.0
39,62,3.564516129032258,1.2495371961865012,0.01,791.78,1,62.0,0.0,14,0.1034,0.0431,0.0431,0.0345,0.2414,0.0603,0.0,0.1552,0.0,0.0086,0.0345,0.0,0.0259,0.069,0.069,0.1034,0.0086,0.0
40,96,3.4479166666666665,1.1320200078821987,0.02,791.82,1,96.0,0.0,17,0.1849,0.2302,0.0038,0.0377,0.0642,0.0075,0.0,0.0792,0.034,0.0038,0.0038,0.0113,0.0038,0.0453,0.0906,0.0377,0.1547,0.0075
41,25,3.48,1.5842979517754858,0.03,791.82,1,25.0,0.0,14,0.1111,0.0635,0.0317,0.0476,0.0794,0.0,0.0,0.1429,0.0317,0.0,0.0794,0.0159,0.0317,0.1111,0.0952,0.0952,0.0635,0.0
42,231,3.74025974025974,0.7644707871564385,0.03,791.81,1,231.0,0.0,18,0.2151,0.1153,0.0069,0.0189,0.1015,0.0293,0.0017,0.0706,0.0396,0.0017,0.0224,0.0052,0.0086,0.0327,0.2065,0.0964,0.0207,0.0069
43,24,4.125,0.9469631093315002,0.0,791.99,1,24.0,0.0,12,0.0714,0.0238,0.0476,0.0238,0.3571,0.0238,0.0,0.119,0.0,0.0,0.0,0.0238,0.0,0.1667,0.0238,0.0952,0.0238,0.0
44,193,3.6321243523316062,1.1921637126625235,305.48,486.6,3,64.33,0.0052,17,0.1152,0.1337,0.037,0.072,0.142,0.0165,0.0,0.0741,0.0514,0.0041,0.0576,0.0329,0.0206,0.0597,0.0947,0.0658,0.0185,0.0041
45,297,2.946127946127946,1.1167309421198992,0.05,792.39,1,297.0,0.0,16,0.0216,0.0299,0.0133,0.0316,0.3904,0.0066,0.0,0.1412,0.0116,0.0,0.0083,0.0249,0.0083,0.2492,0.0216,0.0199,0.0116,0.01
46,41,4.219512195121951,1.6048706353153706,0.01,792.54,1,41.0,0.0,10,0.0492,0.0328,0.0,0.0,0.0656,0.0,0.0164,0.0656,0.0164,0.0,0.541,0.0,0.0492,0.0,0.0164,0.1475,0.0,0.0
47,22,3.909090909090909,0.750180353495453,0.0,792.54,1,22.0,0.0,9,0.0682,0.0227,0.0,0.0227,0.0682,0.1136,0.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.1364,0.0,0.0682,0.0455,0.0
48,598,3.068561872909699,0.8166903868404631,5.03,787.56,4,149.5,0.1321,18,0.1438,0.0858,0.0286,0.0655,0.1807,0.0196,0.0023,0.1145,0.0264,0.003,0.0158,0.0279,0.0173,0.0633,0.0783,0.0693,0.0399,0.0181
49,108,3.712962962962963,0.8652256571945691,9.75,782.88,2,54.0,0.1019,17,0.227,0.0957,0.0851,0.0674,0.0567,0.0461,0.0035,0.078,0.0106,0.0071,0.0142,0.0284,0.0106,0.0355,0.0957,0.1028,0.0355,0.0
50,43,3.0697674418604652,0.8835897786925597,0.01,792.75,1,43.0,0.0,15,0.0988,0.0741,0.037,0.037,0.1852,0.0247,0.0,0.1975,0.0,0.0,0.037,0.0247,0.0247,0.0864,0.0494,0.0988,0.0123,0.0123
51,40,3.825,0.9306049865682221,0.01,792.9,1,40.0,0.0,13,0.0263,0.0,0.0658,0.0789,0.3421,0.0132,0.0,0.1711,0.0,0.0132,0.0395,0.0263,0.0132,0.0921,0.0395,0.0789,0.0,0.0
52,79,3.5569620253164556,1.1064708906576661,0.02,792.89,1,79.0,0.0,13,0.3198,0.0711,0.0,0.0,0.0964,0.0406,0.0,0.1066,0.0051,0.0,0.0254,0.0,0.0203,0.0406,0.0558,0.1675,0.0355,0.0152
53,684,4.2368421052631575,0.94631254680118,0.52,792.4,2,342.0,0.0,18,0.1032,0.0576,0.0225,0.0384,0.1092,0.0397,0.0007,0.1946,0.0278,0.0066,0.0576,0.0298,0.0238,0.0642,0.09,0.1039,0.0238,0.0066
54,40,4.025,0.7675301714607472,0.01,792.94,1,40.0,0.0,16,0.0278,0.0139,0.0139,0.0417,0.5,0.0278,0.0,0.1528,0.0139,0.0,0.0139,0.0139,0.0139,0.0556,0.0278,0.0139,0.0139,0.0556
55,25,4.12,0.8326663997864532,0.11,792.9,1,25.0,0.0,13,0.0638,0.0213,0.0638,0.0851,0.0638,0.0638,0.0213,0.2766,0.0,0.0,0.0,0.0,0.0,0.0638,0.0213,0.1489,0.0851,0.0213
56,67,3.970149253731343,1.1543087824601292,0.02,792.99,1,67.0,0.0,14,0.062,0.0,0.0388,0.0465,0.2093,0.093,0.0078,0.2481,0.0,0.0078,0.0,0.0155,0.0078,0.062,0.0078,0.124,0.0698,0.0
57,64,2.90625,1.4333748609709507,0.03,793.04,1,64.0,0.0,14,0.1406,0.0781,0.0469,0.0547,0.1719,0.0469,0.0,0.1484,0.0,0.0,0.0703,0.0312,0.0078,0.0078,0.0703,0.0859,0.0391,0.0
58,437,3.9725400457665905,0.9857592432553195,0.1,792.96,1,437.0,0.0,18,0.1647,0.0808,0.021,0.0319,0.1158,0.0279,0.002,0.1327,0.018,0.005,0.0439,0.016,0.018,0.0439,0.1527,0.0838,0.0349,0.007
59,213,3.4741784037558685,0.8330099469967649,741.14,51.92,2,106.5,0.0,18,0.0437,0.0291,0.0073,0.017,0.1286,0.0267,0.0024,0.2791,0.0049,0.0218,0.0194,0.0728,0.0267,0.1505,0.0388,0.051,0.0655,0.0146
60,70,3.414285714285714,1.345877841247517,0.01,793.08,1,70.0,0.0,16,0.1237,0.1559,0.0108,0.043,0.1398,0.043,0.0,0.0645,0.0215,0.0108,0.0161,0.0,0.1129,0.0591,0.0645,0.1022,0.0215,0.0108
